Tanggal,Tahun,Bulan,T_avg,RH_avg,RR,Prediction_base_on_RH,Prediction_base_on_T
2020-01-25,2020,1,27.1,89.0,123.7,29.14916873268197,14.004344558842377
2020-01-26,2020,1,28.2,84.0,7.4,19.20180785016356,8.135534664280982
2020-01-27,2020,1,28.3,80.0,12.3,11.243919144148805,7.602006492048133
2020-01-28,2020,1,29.0,76.0,4.2,3.286030438134077,3.867309286418134
2020-01-29,2020,1,29.5,80.0,0.0,11.243919144148805,1.1996684252538614
2020-01-30,2020,1,27.4,82.0,22.0,15.222863497156197,12.40376004214383
2020-01-31,2020,1,28.3,84.0,0.0,19.20180785016356,7.602006492048133
2020-02-01,2020,2,26.1,92.0,48.5,27.25652084236959,29.075238790852467
2020-02-02,2020,2,26.8,88.0,128.9,25.879971427618123,23.13079400235938
2020-02-03,2020,2,27.0,87.0,16.6,25.535834073930257,21.43238120564706
2020-02-04,2020,2,27.0,86.0,20.9,25.191696720242394,21.43238120564706
2020-02-05,2020,2,27.8,84.0,0.5,24.50342201286666,14.638730018797816
2020-02-06,2020,2,26.7,89.0,6.6,26.22410878130599,23.98000040071554
2020-02-07,2020,2,26.6,90.0,0.6,26.568246134993856,24.8292067990717
2020-02-08,2020,2,26.7,86.0,125.2,25.191696720242394,23.98000040071554
2020-02-09,2020,2,26.4,85.0,9.0,24.847559366554528,26.527619595784017
2020-02-10,2020,2,29.1,76.0,18.6,21.750323183363733,3.5990468401677447
2020-02-11,2020,2,29.9,72.0,0.0,20.373773768612267,0.0
2020-02-12,2020,2,29.5,74.0,0.0,21.062048475988,0.2022212467431359
2020-02-13,2020,2,28.6,77.0,0.0,22.0944605370516,7.845078831948541
2020-02-14,2020,2,27.6,84.0,0.0,24.50342201286666,16.337142815510106
2020-02-15,2020,2,28.3,83.0,4.7,24.159284659178795,10.392698027017019
2020-02-16,2020,2,27.4,85.0,0.0,24.847559366554528,18.035555612222453
2020-02-17,2020,2,28.48,77.18,26.5,0.0,29.924445189208654
2020-02-18,2020,2,27.6,84.0,7.2,24.50342201286666,16.337142815510106
